VacID	JumpID	ERGforward	ERGbackward	ERGstartshow	ERGendshow	ERGstart	ERG1	ERG2	ERG3	ERG4	ERG5	ERGend	DISTstart	DIST1	DIST2	DIST3	DIST4	DIST5	DISTend	FORCEsaddle	DIST	POS
82	83	.481830	.345952	-920.68341876	-920.54754111	0.000000	0.118961	0.362717	0.481830	0.398499	0.220736	0.135878	0.000000	0.474418	0.953709	1.433063	1.863590	2.298691	2.734474	-0.011205	2.55201089253627	1.433063
82	80	.728938	.621594	-920.68341876	-920.57607426	0.000000	0.203801	0.574377	0.728938	0.574531	0.284401	0.107344	0.000000	0.573690	1.146443	1.717420	2.320823	2.918961	3.516250	0.013488	3.11657648722422	1.717420
82	148	.782146	.627524	-920.68341876	-920.52879716	0.000000	0.193126	0.601198	0.782146	0.623641	0.323134	0.154622	0.000000	0.569750	1.140265	1.707865	2.272567	2.834862	3.395988	0.010134	3.03688214576414	1.707865
83	160	.597936	.512265	-920.54753606	-920.46186457	0.000000	0.151372	0.455006	0.597936	0.472819	0.219814	0.085671	0.000000	0.501934	1.005750	1.507346	1.995979	2.484853	2.974890	-0.000930	2.74026095333418	1.507346
83	81	.645628	.608011	-920.54753606	-920.50991904	0.000000	0.161399	0.493559	0.645628	0.494557	0.186360	0.037617	0.000000	0.523074	1.048558	1.569959	2.091569	2.612798	3.135584	0.004788	2.86368037498155	1.569959
83	144	.691957	.639267	-920.54753606	-920.49484594	0.000000	0.171929	0.521627	0.691957	0.532636	0.209343	0.052690	0.000000	0.540586	1.080671	1.620212	2.149108	2.681058	3.210633	0.000250	2.92517751495345	1.620212
18	23	.456659	.352729	-920.68477557	-920.58084538	0.000000	0.120207	0.344987	0.456659	0.375745	0.199741	0.103930	0.000000	0.462151	0.927415	1.395770	1.823299	2.253595	2.688713	-0.012922	2.54626957197081	1.395770
18	84	.687733	.578812	-920.68477557	-920.57585452	0.000000	0.179423	0.533067	0.687733	0.536854	0.268102	0.108921	0.000000	0.565691	1.129786	1.691666	2.268091	2.840741	3.412762	0.019975	3.03981893971523	1.691666
18	19	.483449	.345661	-920.68477557	-920.54698736	0.000000	0.122365	0.365523	0.483449	0.400499	0.223972	0.137788	0.000000	0.473682	0.950386	1.428515	1.855749	2.287484	2.725078	-0.010137	2.54672086269491	1.428515
82	83	.391740	.291601	-916.28197141	-916.18183215	0.000000	0.107868	0.297407	0.391740	0.331753	0.187117	0.100139	0.000000	0.485846	0.981990	1.483157	1.936327	2.394701	2.855552	-0.023849	2.72023450816492	1.483157
82	80	.441787	.495126	-916.28197141	-916.33530994	0.000000	0.117137	0.338465	0.441787	0.322533	0.072852	-0.053339	0.000000	0.493177	0.981981	1.464631	1.973459	2.484468	2.992993	0.004621	2.73831844793527	1.464631
82	148	.527690	.478895	-916.28197141	-916.23317623	0.000000	0.133400	0.401466	0.527690	0.412590	0.171873	0.048795	0.000000	0.507292	1.013444	1.517977	2.008232	2.503436	3.002288	-0.004578	2.75066044283331	1.517977
83	160	.589238	.557786	-916.18184861	-916.15039618	0.000000	0.143011	0.441724	0.589238	0.454714	0.172397	0.031452	0.000000	0.502613	1.010609	1.516444	2.015215	2.514885	3.013800	-0.001865	2.7683487351597	1.516444
83	81	.444330	.648472	-916.18184861	-916.38599064	0.000000	0.110187	0.334014	0.444330	0.287065	-0.042028	-0.204142	0.000000	0.482122	0.959150	1.432914	1.967573	2.501385	3.036436	0.008241	2.77752195306804	1.432914
83	144	.536193	.595921	-916.18184861	-916.24157661	0.000000	0.131527	0.405970	0.536193	0.393683	0.090631	-0.059728	0.000000	0.492656	0.991112	1.484912	1.993830	2.507422	3.013892	0.001758	2.76547606243632	1.484912
18	23	.380540	.316385	-916.28139984	-916.21724472	0.000000	0.107235	0.291741	0.380540	0.313194	0.156890	0.064155	0.000000	0.484699	0.975912	1.472017	1.937087	2.407389	2.876274	-0.014946	2.73743560708809	1.472017
18	84	.399307	.532936	-916.28139984	-916.41502892	0.000000	0.096980	0.299531	0.399307	0.271724	0.005414	-0.133629	0.000000	0.486832	0.970700	1.449896	1.974242	2.497750	3.021224	0.006538	2.75835814964828	1.449896
18	19	.388927	.289450	-916.28139984	-916.18192279	0.000000	0.107418	0.295460	0.388927	0.330175	0.186306	0.099477	0.000000	0.485228	0.980234	1.480296	1.932722	2.391441	2.851433	-0.024201	2.71831195844123	1.480296
82	83	.587017	.564955	-882.02044736	-881.99838531	0.000000	0.145382	0.444774	0.587017	0.442795	0.154368	0.022062	0.000000	0.550269	1.098575	1.640562	2.185694	2.736181	3.289110	0.000337	2.98166506453592	1.640562
82	80	.457522	.449035	-882.02044736	-882.01196014	0.000000	0.101284	0.336219	0.457522	0.342871	0.110936	0.008487	0.000000	0.544313	1.092683	1.640419	2.171842	2.705369	3.243952	-0.002832	2.87212038198878	1.640419
82	148	.446858	.357278	-882.02044736	-881.93086701	0.000000	0.116152	0.341656	0.446858	0.354832	0.176284	0.089580	0.000000	0.483853	0.966684	1.447772	1.917163	2.390155	2.864607	-0.000872	2.63480531318665	1.447772
83	160	.568216	.512144	-881.99838698	-881.94231518	0.000000	0.143379	0.431527	0.568216	0.446665	0.183348	0.056072	0.000000	0.488598	0.982648	1.474766	1.956817	2.443741	2.928087	0.002081	2.69054879121706	1.474766
83	81	.411017	.490934	-881.99838698	-882.07830411	0.000000	0.092030	0.299578	0.411017	0.288513	0.032139	-0.079917	0.000000	0.522093	1.042081	1.558529	2.078477	2.600559	3.124529	0.000343	2.79813896115628	1.558529
83	144	.490099	.509745	-881.99838698	-882.01803248	0.000000	0.125847	0.372913	0.490099	0.366833	0.107766	-0.019646	0.000000	0.486165	0.969750	1.450045	1.950824	2.456032	2.952369	0.003519	2.73659392440083	1.450045
18	23	.736926	.652907	-882.01636998	-881.93235116	0.000000	0.182721	0.577070	0.736926	0.569914	0.221136	0.084019	0.000000	0.756773	1.515214	2.279316	3.011346	3.737954	4.466015	-0.010196	3.24817168150286	2.279316
18	84	.277677	.191034	-882.01636998	-881.92972708	0.000000	0.078255	0.202327	0.277677	0.251445	0.148705	0.086643	0.000000	0.579734	1.162255	1.748989	2.218239	2.693817	3.171717	-0.042414	2.82487204660502	1.748989
18	19	.822176	.722790	-882.01636998	-881.91698426	0.000000	0.180976	0.601549	0.822176	0.599152	0.230311	0.099386	0.000000	0.588687	1.176800	1.762302	2.364733	2.973030	3.584176	0.002886	3.13039331683177	1.762302
82	83	.537700	.428878	-901.51827788	-901.40945629	0.000000	0.128903	0.402095	0.537700	0.431503	0.212241	0.108822	0.000000	0.501724	1.004133	1.503509	1.970485	2.441333	2.915758	-0.008498	2.67907803571252	1.503509
82	80	1.068776	.906139	-901.51827788	-901.35564063	0.000000	0.258134	0.813012	1.068776	0.840980	0.389671	0.162637	0.000000	0.630655	1.260381	1.889388	2.514554	3.138561	3.759808	0.007158	3.26065721584943	1.889388
82	148	.746410	.665104	-901.51827788	-901.43697161	0.000000	0.174666	0.563558	0.746410	0.557306	0.230242	0.081306	0.000000	0.554254	1.114966	1.668085	2.235029	2.804037	3.366394	0.011876	3.01700226087525	1.668085
83	160	.582790	.488037	-901.40945078	-901.31469818	0.000000	0.150648	0.447441	0.582790	0.455904	0.216657	0.094753	0.000000	0.494694	0.988004	1.477030	1.969745	2.462388	2.955776	0.007904	2.72127467980193	1.477030
83	81	.428293	.536938	-901.40945078	-901.51809620	0.000000	0.103257	0.322379	0.428293	0.293555	0.020655	-0.108645	0.000000	0.475092	0.945957	1.412727	1.913147	2.414081	2.914356	0.007412	2.67865245234713	1.412727
83	144	.664663	.658842	-901.40945078	-901.40362932	0.000000	0.165319	0.500492	0.664663	0.494565	0.166525	0.005821	0.000000	0.535719	1.067811	1.598765	2.138156	2.677813	3.216483	0.003366	2.92970702074304	1.598765
18	23	.507717	.440261	-901.58573034	-901.51827482	0.000000	0.129542	0.384441	0.507717	0.401079	0.177444	0.067456	0.000000	0.525253	1.051325	1.579601	2.083740	2.591471	3.106307	-0.004096	2.83361638472982	1.579601
18	84	1.126388	.869110	-901.58573034	-901.32845216	0.000000	0.245738	0.834320	1.126388	0.876575	0.448037	0.257278	0.000000	0.624934	1.242143	1.856540	2.447048	3.037432	3.628427	0.006590	3.15914647841985	1.856540
18	19	.598498	.450826	-901.58573034	-901.43805818	0.000000	0.142670	0.448239	0.598498	0.485672	0.256413	0.147672	0.000000	0.526501	1.053217	1.580661	2.069622	2.562077	3.059562	-0.008095	2.78417421802718	1.580661
82	83	.366562	.261631	-896.00343593	-895.89850452	0.000000	0.100973	0.280607	0.366562	0.310133	0.178729	0.104931	0.000000	0.502070	1.002986	1.503892	1.961080	2.418796	2.877116	-0.018464	2.71863240975412	1.503892
82	80	.413032	.436860	-896.00343593	-896.02726370	0.000000	0.120771	0.321104	0.413032	0.311517	0.099698	-0.023828	0.000000	0.476777	0.953951	1.432367	1.920477	2.406006	2.889070	0.001447	2.70624750829808	1.432367
